video,mean_stride,cadence,label
001_color_down0.json,27.744308712882972,1.0,1
001_color_down1.json,26.758183098792657,1.0,1
001_color_down2.json,30.46498690339107,1.0,1
001_color_down3.json,30.567550661738974,1.0,1
001_color_down4.json,28.1499432705102,1.0,1
001_color_down5.json,27.078815211652813,1.0,1
001_color_down6.json,29.51144805988555,1.0,1
001_color_down7.json,27.9768854977455,1.0,1
001_color_down8.json,26.993854049849645,1.0,1
001_color_down9.json,29.043823242203533,1.0,1
001_color_down10.json,31.830786610104404,1.0,1
001_color_down11.json,20.801749767157176,1.0,1
001_color_down12.json,21.531524658203125,1.0,1
001_color_down13.json,19.274382494462685,1.0,1
001_color_down14.json,6.715632407463687,1.0,1
001_color_down15.json,22.218837615537563,1.0,1
001_color_down16.json,35.55569893901717,1.0,1
001_color_down17.json,35.899018320162625,1.0,1
001_color_down18.json,18.942329643152473,1.0,1
001_color_down19.json,33.16499585478562,1.0,1
001_color_down20.json,36.6331457219438,1.0,1
001_color_down21.json,34.00630197659575,1.0,1
001_color_down22.json,16.68512241367172,1.0,1
001_color_down23.json,38.302954670519746,1.0,1
001_color_down24.json,40.51505921373945,1.0,1
001_color_down25.json,26.77840189196035,1.0,1
001_color_down26.json,35.46745995644582,1.0,1
001_color_down27.json,53.58775897742996,1.0,1
001_color_down28.json,53.25391884931122,1.0,1
001_color_down29.json,41.23385670805489,1.0,1
001_color_down30.json,7.826100662789017,1.0,1
001_color_down31.json,32.49625915809271,1.0,1
001_color_down32.json,34.44585468913392,1.0,1
001_color_down33.json,22.244089610294765,1.0,1
001_color_down34.json,29.579946827841102,1.0,1
001_color_down35.json,55.35002677701136,1.0,1
001_color_down36.json,54.641056049724824,1.0,1
001_color_down37.json,50.36553220839836,1.0,1
001_color_down38.json,25.797548178150855,1.0,1
001_color_down39.json,28.285313314182353,1.0,1
001_color_down40.json,32.821861567375215,1.0,1
001_color_down41.json,24.8917674735161,1.0,1
001_color_down42.json,25.307328279334,1.0,1
001_color_down43.json,47.24079226573962,1.0,1
001_color_down44.json,46.91281959820229,1.0,1
001_color_down45.json,34.5586303241237,1.0,1
001_color_down46.json,25.718450144901176,1.0,1
001_color_down47.json,29.104029470838416,1.0,1
001_color_down48.json,40.54248810285298,1.0,1
001_color_down49.json,43.33665304281359,1.0,1
001_color_down50.json,36.90126804406682,1.0,1
001_color_down51.json,30.381011962890625,1.0,1
001_color_down52.json,30.535990315507757,1.0,1
001_color_down53.json,30.981355691469037,1.0,1
001_color_down54.json,44.6888795278348,1.0,1
001_color_down55.json,46.72858822701334,1.0,1
001_color_down56.json,49.96791973462943,1.0,1
001_color_down57.json,40.374108266375714,1.0,1
001_color_down58.json,26.665443032195633,1.0,1
001_color_down59.json,27.353343306931233,1.0,1
001_color_down60.json,27.93935394942846,1.0,1
001_color_down61.json,17.207552478296854,1.0,1
001_color_down62.json,20.005084228549144,1.0,1
001_color_down63.json,19.255367008487873,1.0,1
001_color_down64.json,20.678524272305886,1.0,1
001_color_down65.json,37.18114720129506,1.0,1
001_color_down66.json,50.32523521235365,1.0,1
001_color_down67.json,51.642808389963676,1.0,1
001_color_down68.json,33.54491162184735,1.0,1
001_color_down69.json,10.414062500044714,1.0,1
001_color_down70.json,33.54901715299381,1.0,1
001_color_down71.json,34.65186968205151,1.0,1
001_color_down72.json,27.617022675719753,1.0,1
001_color_down73.json,37.02976591545666,1.0,1
001_color_down74.json,47.03035614184663,1.0,1
001_color_down75.json,35.804638215209415,1.0,1
001_color_down76.json,11.319028510267337,1.0,1
001_color_down77.json,37.647847783142375,1.0,1
001_color_down78.json,47.46592803315378,1.0,1
001_color_down79.json,39.06742060431469,1.0,1
001_color_down80.json,21.47183952069495,1.0,1
001_color_down81.json,41.750273352879454,1.0,1
001_color_down82.json,44.04037418692001,1.0,1
001_color_down83.json,37.12556457519531,1.0,1
001_color_down84.json,14.247096535488062,1.0,1
001_color_down85.json,35.814216984345826,1.0,1
001_color_down86.json,37.642568956602716,1.0,1
001_color_down87.json,32.83003482084421,1.0,1
001_color_down88.json,11.02585338131595,1.0,1
001_color_down89.json,42.65440555110507,1.0,1
001_color_down90.json,44.402826495616324,1.0,1
001_color_down91.json,44.545772250437466,1.0,1
001_color_down92.json,35.487373784337386,1.0,1
001_color_down93.json,24.36639404296875,1.0,1
001_color_down94.json,11.77589947703884,1.0,1
001_color_down95.json,8.770159004053985,1.0,1
001_color_down96.json,26.748643612933787,1.0,1
001_color_down97.json,29.422173367895915,1.0,1
001_color_down98.json,31.291841169639383,1.0,1
001_color_down99.json,32.4925258241484,1.0,1
001_color_down100.json,29.266339518457055,1.0,1
001_color_down101.json,29.362305478062915,1.0,1
001_color_down102.json,27.352669647182513,1.0,1
001_color_down103.json,26.602750792378806,1.0,1
001_color_down104.json,26.60300760062497,1.0,1
001_color_down105.json,25.945439204627693,1.0,1
001_color_down106.json,35.947177951007475,1.0,1
001_color_down107.json,42.11627943539452,1.0,1
001_color_down108.json,43.969786922724765,1.0,1
001_color_down109.json,42.24554307798516,1.0,1
001_color_down110.json,29.192023198532585,1.0,1
001_color_down111.json,28.114663568014283,1.0,1
001_color_down112.json,26.509876030546273,1.0,1
001_color_down113.json,26.493686253068756,1.0,1
001_color_down114.json,28.452667556258174,1.0,1
001_color_down115.json,29.46911466591325,1.0,1
001_color_down116.json,29.007698836228,1.0,1
001_color_down117.json,28.953491288011634,1.0,1
001_color_down118.json,28.649911006398753,1.0,1
001_color_down119.json,27.620942304327283,1.0,1
001_color_down120.json,28.68677736811154,1.0,1
001_color_down121.json,26.66880702151257,1.0,1
001_color_down122.json,31.117117766902084,1.0,1
001_color_down123.json,42.15172646270005,1.0,1
001_color_down124.json,46.948984247724304,1.0,1
001_color_down125.json,45.41938572915542,1.0,1
001_color_down126.json,46.54133551003585,1.0,1
001_color_down127.json,45.49836089514522,1.0,1
002_color_down0.json,28.177165751466042,1.0,0
002_color_down1.json,30.315340919673876,1.0,0
002_color_down2.json,29.93736586417596,1.0,0
002_color_down3.json,29.818833680856375,1.0,0
002_color_down4.json,28.871241115968008,1.0,0
002_color_down5.json,31.230877838884282,1.0,0
002_color_down6.json,37.8406276438816,1.0,0
002_color_down7.json,63.41040919077404,1.0,0
002_color_down8.json,67.53889030482303,1.0,0
002_color_down9.json,62.467071533203125,1.0,0
002_color_down10.json,31.597857724050975,1.0,0
002_color_down11.json,32.92530040728437,1.0,0
