frame,visibility_0,visibility_1,visibility_2,visibility_3,visibility_4,visibility_5,visibility_6,visibility_7,visibility_8,visibility_9,visibility_10,visibility_11,visibility_12,visibility_13,visibility_14,visibility_15,visibility_16,visibility_17,visibility_18,visibility_19,visibility_20,visibility_21,visibility_22,visibility_23,visibility_24,visibility_25,visibility_26,visibility_27,visibility_28,visibility_29,visibility_30,visibility_31,visibility_32,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32,tug_subtask
0,0.9989860653877258,0.9979139566421509,0.9979761838912964,0.9975919127464294,0.9976723194122314,0.9977768659591675,0.9978796243667603,0.9970352649688721,0.9982720613479614,0.9994938373565674,0.9998031258583069,0.9998765587806702,0.9999723434448242,0.8190577626228333,0.9880459904670715,0.6996495723724365,0.9362886548042297,0.6830615997314453,0.8936337828636169,0.6941051483154297,0.8978614807128906,0.6709070801734924,0.8817710280418396,0.9992191195487976,0.9990984797477722,0.8629489541053772,0.9307184219360352,0.8022886514663696,0.7886323928833008,0.7190255522727966,0.7035523056983948,0.7678287029266357,0.7861039042472839,0.19313272833824158,0.19391857087612152,0.19521106779575348,0.1963699758052826,0.18783187866210938,0.1849498599767685,0.18194158375263214,0.19085350632667542,0.17296577990055084,0.19368083775043488,0.18698647618293762,0.20182712376117706,0.13412874937057495,0.23272617161273956,0.09978325664997101,0.2714734673500061,0.16915765404701233,0.27717137336730957,0.18359404802322388,0.271489679813385,0.18964149057865143,0.2686176002025604,0.18554925918579102,0.2074878215789795,0.1720791757106781,0.27598807215690613,0.22076424956321716,0.2529594302177429,0.2421647608280182,0.24328306317329407,0.23557612299919128,0.2847415804862976,0.2774210572242737,0.4295484721660614,0.4165785610675812,0.4157118499279022,0.41500815749168396,0.4177502691745758,0.4177285134792328,0.41796132922172546,0.41681963205337524,0.4216437041759491,0.4367087483406067,0.4378499388694763,0.46931207180023193,0.46786341071128845,0.5235269665718079,0.5291606783866882,0.5544628500938416,0.5488697290420532,0.5684031248092651,0.5624376535415649,0.564207136631012,0.5522518754005432,0.5627381205558777,0.5471729636192322,0.5873467922210693,0.6122924089431763,0.5893040895462036,0.6118894815444946,0.7059386372566223,0.7064735293388367,0.7246188521385193,0.7220667600631714,0.7360227108001709,0.7329349517822266,-0.16583997011184692,-0.15311269462108612,-0.1531260907649994,-0.15316718816757202,-0.1654532253742218,-0.16549821197986603,-0.16557160019874573,-0.0696573331952095,-0.145512655377388,-0.13190977275371552,-0.14250710606575012,-0.005286730360239744,-0.1374465525150299,0.021535471081733704,-0.21615996956825256,-0.05515396595001221,-0.2894298732280731,-0.06922684609889984,-0.3134540915489197,-0.08967357128858566,-0.3078600764274597,-0.06551859527826309,-0.28665831685066223,0.04968626797199249,-0.04956124350428581,-0.019054193049669266,-0.12454207986593246,0.0320482961833477,0.006710341665893793,0.03616799786686897,0.02034502848982811,0.005720576737076044,-0.0027601607143878937,Sit-To-Stand
1,0.998879611492157,0.9978374242782593,0.9978305101394653,0.9974987506866455,0.9976917505264282,0.997767984867096,0.9978566765785217,0.9969863295555115,0.998324453830719,0.9993733167648315,0.9997659921646118,0.9998692870140076,0.9999643564224243,0.8177422285079956,0.9882696270942688,0.7125635743141174,0.9397586584091187,0.6922240257263184,0.8980971574783325,0.704289972782135,0.9020290374755859,0.6836487650871277,0.8855257630348206,0.9991588592529297,0.9989349246025085,0.8099047541618347,0.8830077648162842,0.7417315244674683,0.7246332764625549,0.6774981021881104,0.658685564994812,0.7124178409576416,0.7272696495056152,0.2046796977519989,0.205178901553154,0.2063233107328415,0.2073260247707367,0.1991746574640274,0.19596967101097107,0.19245894253253937,0.20117957890033722,0.1809438318014145,0.20529642701148987,0.1977735459804535,0.21424147486686707,0.13995221257209778,0.24127988517284393,0.1164589524269104,0.2731112241744995,0.17561593651771545,0.28360411524772644,0.19019290804862976,0.28163233399391174,0.19646291434764862,0.2761308550834656,0.1928643435239792,0.21193405985832214,0.17431893944740295,0.26568397879600525,0.21243083477020264,0.24403314292430878,0.23160043358802795,0.23032109439373016,0.22459900379180908,0.2681114971637726,0.25789326429367065,0.4346895217895508,0.4221678376197815,0.4213283360004425,0.42057478427886963,0.423141747713089,0.422995924949646,0.4229348599910736,0.42058828473091125,0.425016313791275,0.4432275593280792,0.4435124099254608,0.47354942560195923,0.4659472107887268,0.5233877897262573,0.5299447774887085,0.5559982657432556,0.5477258563041687,0.5715253353118896,0.5634851455688477,0.5660631656646729,0.5530614852905273,0.5639274716377258,0.5483279824256897,0.5921142101287842,0.6106693148612976,0.6168506145477295,0.5992017984390259,0.7243674993515015,0.6971340775489807,0.7393501996994019,0.7133354544639587,0.7567312717437744,0.7243138551712036,-0.16885444521903992,-0.15688279271125793,-0.1569051444530487,-0.1569516956806183,-0.1680968701839447,-0.16819177567958832,-0.16827324032783508,-0.07374554872512817,-0.16097822785377502,-0.13548825681209564,-0.15302687883377075,-0.007342197000980377,-0.14891564846038818,0.023633232340216637,-0.21066224575042725,-0.05546475574374199,-0.27077847719192505,-0.07186868786811829,-0.293338805437088,-0.09015364944934845,-0.2936040461063385,-0.06537964195013046,-0.2699006199836731,0.04811234027147293,-0.04800775647163391,0.0036811348982155323,-0.08543150871992111,0.07532520592212677,0.05846905708312988,0.0808657631278038,0.07236216217279434,0.04190722480416298,0.04028031975030899,Sit-To-Stand
2,0.9986957311630249,0.9975597858428955,0.9974634051322937,0.9971571564674377,0.997499942779541,0.9975408911705017,0.9976701736450195,0.996616005897522,0.9982619881629944,0.9992556571960449,0.9997437000274658,0.9998547434806824,0.999955415725708,0.8209986090660095,0.9886518716812134,0.7285341024398804,0.9437907338142395,0.7080626487731934,0.904201328754425,0.7199448943138123,0.9078386425971985,0.7002984285354614,0.8919602632522583,0.9989063739776611,0.9986051917076111,0.7721256613731384,0.8814166784286499,0.7100971341133118,0.711851954460144,0.6653921008110046,0.6612235903739929,0.6819374561309814,0.711905300617218,0.20400658249855042,0.20556282997131348,0.20699799060821533,0.20827826857566833,0.19925330579280853,0.19639723002910614,0.19343078136444092,0.20290961861610413,0.18532608449459076,0.20439167320728302,0.19641509652137756,0.21716520190238953,0.14369860291481018,0.2424493283033371,0.1187230572104454,0.2769218981266022,0.17801493406295776,0.2868051528930664,0.19170932471752167,0.2813502550125122,0.20010587573051453,0.27656152844429016,0.1980402022600174,0.2045038491487503,0.16269944608211517,0.2675831913948059,0.21365590393543243,0.24454617500305176,0.23188813030719757,0.22737519443035126,0.22403566539287567,0.2730034291744232,0.2629382312297821,0.43391022086143494,0.4213401973247528,0.42096537351608276,0.4207458794116974,0.4218582510948181,0.42186832427978516,0.422057181596756,0.4221422076225281,0.4247206151485443,0.44333571195602417,0.44272056221961975,0.47609493136405945,0.4623059928417206,0.522514820098877,0.5298236012458801,0.55474454164505,0.5460911989212036,0.57151859998703,0.5628171563148499,0.5665959119796753,0.5538381934165955,0.5637928247451782,0.5490314960479736,0.5921201705932617,0.6040982604026794,0.5983695387840271,0.5922075510025024,0.7211694717407227,0.6996083855628967,0.7355008721351624,0.7146751284599304,0.7496959567070007,0.7260602712631226,-0.14643943309783936,-0.13337640464305878,-0.13342949748039246,-0.13347524404525757,-0.14661002159118652,-0.14665549993515015,-0.14673933386802673,-0.055140458047389984,-0.13323856890201569,-0.1155567616224289,-0.13371360301971436,0.0016443819040432572,-0.12083961814641953,0.0027730490546673536,-0.1919272541999817,-0.11447223275899887,-0.2573784589767456,-0.13801619410514832,-0.28188711404800415,-0.1516651213169098,-0.28184273838996887,-0.12391521036624908,-0.256766140460968,0.04928448423743248,-0.04917212948203087,-0.03347531706094742,-0.17367929220199585,0.0320281907916069,-0.05626281350851059,0.05325407534837723,-0.041908398270606995,-0.021086208522319794,0.028977740556001663,Sit-To-Stand
3,0.9987049102783203,0.9976449608802795,0.9975482821464539,0.9972771406173706,0.9976064562797546,0.9976295232772827,0.9977368116378784,0.9968193173408508,0.9983459115028381,0.9992356300354004,0.9997377991676331,0.999858558177948,0.9999346137046814,0.8272044062614441,0.9885334968566895,0.7489362359046936,0.9468237161636353,0.7286312580108643,0.9090904593467712,0.740350604057312,0.9126642346382141,0.7222689390182495,0.8972282409667969,0.9985780715942383,0.9980143308639526,0.7533937692642212,0.8862356543540955,0.6884530782699585,0.7195962071418762,0.6586781740188599,0.6783270835876465,0.6628753542900085,0.7159776091575623,0.21403364837169647,0.2139621526002884,0.21423888206481934,0.21438691020011902,0.21053746342658997,0.2082303762435913,0.20559334754943848,0.20498129725456238,0.1933712661266327,0.21088233590126038,0.2065865695476532,0.21431203186511993,0.1503107100725174,0.23914305865764618,0.11772458255290985,0.275302916765213,0.173924058675766,0.2873336672782898,0.1858816146850586,0.2847265899181366,0.19392067193984985,0.27963578701019287,0.1909046322107315,0.20307257771492004,0.1630581021308899,0.271461546421051,0.2155759632587433,0.24094215035438538,0.23639357089996338,0.2282097041606903,0.22649411857128143,0.27108100056648254,0.2695612907409668,0.4360738694667816,0.42441198229789734,0.4239616394042969,0.42357301712036133,0.4244820177555084,0.42417457699775696,0.4239482879638672,0.4238296449184418,0.42504626512527466,0.44463542103767395,0.4440784454345703,0.47473734617233276,0.4629615247249603,0.5199701189994812,0.5295707583427429,0.5545350909233093,0.5434926748275757,0.5721988677978516,0.560955286026001,0.5675479769706726,0.5539773106575012,0.5643455982208252,0.5480931997299194,0.592256486415863,0.6041476130485535,0.5894519090652466,0.5879606604576111,0.7096056342124939,0.6991803646087646,0.7206177115440369,0.7153198719024658,0.7450445294380188,0.729119598865509,-0.1295538991689682,-0.11713571846485138,-0.11720050871372223,-0.11724801361560822,-0.13530156016349792,-0.1353483945131302,-0.13540267944335938,-0.0431954488158226,-0.12919014692306519,-0.09995909035205841,-0.12437821924686432,0.009465879760682583,-0.12982383370399475,0.018858088180422783,-0.2200106382369995,-0.07469683140516281,-0.2944486141204834,-0.08934624493122101,-0.3177495002746582,-0.10694857686758041,-0.3161153495311737,-0.0845426470041275,-0.2937924265861511,0.052723586559295654,-0.052589792758226395,-0.011236356571316719,-0.17915725708007812,0.01851423643529415,-0.0947948470711708,0.026233797892928123,-0.08409876376390457,-0.01704140566289425,-0.08929450064897537,Sit-To-Stand
4,0.9987386465072632,0.99778813123703,0.9976962208747864,0.9974489212036133,0.9977241158485413,0.9977249503135681,0.9978141784667969,0.9970564246177673,0.9984340071678162,0.9992830753326416,0.9997507333755493,0.9998623132705688,0.9999195337295532,0.8383389115333557,0.9885621070861816,0.7706542611122131,0.9492360949516296,0.7512362003326416,0.9131990671157837,0.7622228264808655,0.9165919423103333,0.7454200983047485,0.9016132354736328,0.9981680512428284,0.9972073435783386,0.752808153629303,0.8929134011268616,0.6834638714790344,0.731984555721283,0.6658440232276917,0.6986417174339294,0.6545608639717102,0.7232570648193359,0.21717040240764618,0.2174845039844513,0.21821145713329315,0.21872146427631378,0.21230077743530273,0.2095012366771698,0.20636966824531555,0.21066638827323914,0.19521981477737427,0.2156251221895218,0.208128422498703,0.22395463287830353,0.15346622467041016,0.24774983525276184,0.12340693175792694,0.28041356801986694,0.1785137951374054,0.28881990909576416,0.19154205918312073,0.2857542634010315,0.1986737698316574,0.2812669277191162,0.19729773700237274,0.20127645134925842,0.1587965041399002,0.2672522962093353,0.2114301472902298,0.24148066341876984,0.2363186776638031,0.22926203906536102,0.2267734706401825,0.27222004532814026,0.26998376846313477,0.4363679587841034,0.4241411089897156,0.4239500164985657,0.4238373041152954,0.4238678216934204,0.42361289262771606,0.42347145080566406,0.4252321124076843,0.4251675307750702,0.4470928907394409,0.44534096121788025,0.4785376191139221,0.46349141001701355,0.5240004658699036,0.5203740000724792,0.5612269639968872,0.5425923466682434,0.5768665075302124,0.5610616207122803,0.5739091038703918,0.5548719167709351,0.5697597861289978,0.5492604970932007,0.5935806035995483,0.6032199263572693,0.5869725942611694,0.5893964767456055,0.7091642022132874,0.6997856497764587,0.7225598096847534,0.7179262042045593,0.7442018389701843,0.7307215929031372,-0.1317748874425888,-0.11757411807775497,-0.11765564978122711,-0.11773202568292618,-0.13167500495910645,-0.13169443607330322,-0.13173021376132965,-0.036171481013298035,-0.1033133715391159,-0.09985347092151642,-0.11887337267398834,0.018864136189222336,-0.1101488247513771,0.01691841334104538,-0.1942240297794342,-0.11616899073123932,-0.2912673056125641,-0.1396821141242981,-0.31988057494163513,-0.15762457251548767,-0.3195660710334778,-0.12686888873577118,-0.29192060232162476,0.05154164880514145,-0.051402051001787186,-0.041510503739118576,-0.19610156118869781,-0.0035683989990502596,-0.12197890132665634,-0.0016202849801629782,-0.11301107704639435,-0.03703176975250244,-0.15555204451084137,Sit-To-Stand
5,0.9987133741378784,0.9978170394897461,0.9977469444274902,0.9974808692932129,0.997622549533844,0.9975769519805908,0.9975506663322449,0.9972179532051086,0.9983673095703125,0.9993122816085815,0.999747633934021,0.9998705983161926,0.9998964667320251,0.8509297370910645,0.9874823093414307,0.7913125157356262,0.9490813612937927,0.7726568579673767,0.9138777852058411,0.7829666137695312,0.917378306388855,0.7677883505821228,0.9028403162956238,0.9978324174880981,0.9961590766906738,0.7482101321220398,0.8933876752853394,0.6698681116104126,0.7235046029090881,0.6612015962600708,0.6900797486305237,0.6339184045791626,0.7050360441207886,0.2145676165819168,0.21650972962379456,0.21769872307777405,0.21876926720142365,0.2098933905363083,0.20650212466716766,0.20319493114948273,0.21400146186351776,0.1947450488805771,0.2133358269929886,0.2066294401884079,0.22834379971027374,0.15604260563850403,0.2498563975095749,0.13017967343330383,0.2826389670372009,0.17540407180786133,0.291054904460907,0.18970176577568054,0.2864782512187958,0.1977427899837494,0.2818170189857483,0.19383230805397034,0.19873443245887756,0.15760622918605804,0.2607037425041199,0.2073298990726471,0.2402779757976532,0.2251390665769577,0.22989869117736816,0.21876761317253113,0.27376633882522583,0.254177987575531,0.43800798058509827,0.42560186982154846,0.42577019333839417,0.42612114548683167,0.4245412051677704,0.42410901188850403,0.423845499753952,0.42841026186943054,0.4255053699016571,0.44893452525138855,0.44649752974510193,0.4789752662181854,0.4640865921974182,0.524260938167572,0.5205349326133728,0.5654914975166321,0.5452284216880798,0.5811894536018372,0.5628221035003662,0.5803041458129883,0.5559365749359131,0.5758503079414368,0.5502911806106567,0.5934638381004333,0.599996030330658,0.5911574959754944,0.623775064945221,0.7087744474411011,0.712316632270813,0.7224811911582947,0.7253198623657227,0.7429698705673218,0.7443075180053711,-0.15302737057209015,-0.13993977010250092,-0.1400757133960724,-0.14021635055541992,-0.14628420770168304,-0.1461867094039917,-0.14616797864437103,-0.06016181781888008,-0.10740996897220612,-0.12190673500299454,-0.13066238164901733,-0.005962408147752285,-0.09903417527675629,-0.023262597620487213,-0.18418022990226746,-0.149932861328125,-0.29577353596687317,-0.17555482685565948,-0.32472729682922363,-0.19393397867679596,-0.32778042554855347,-0.1605329066514969,-0.29864737391471863,0.04494340345263481,-0.04475252330303192,-0.04636092111468315,-0.12564945220947266,0.02385290525853634,-0.03160553425550461,0.028533250093460083,-0.0231061689555645,-0.014524223282933235,-0.07642362266778946,Sit-To-Stand
6,0.998630702495575,0.9977318048477173,0.9976694583892822,0.9973776340484619,0.9974353313446045,0.9973145723342896,0.9972185492515564,0.9972322583198547,0.9982296824455261,0.9993088841438293,0.9997375011444092,0.9998777508735657,0.9998791217803955,0.8632453680038452,0.9879383444786072,0.8105076551437378,0.9518100619316101,0.7925209999084473,0.9179078936576843,0.8021135330200195,0.9212208986282349,0.7881452441215515,0.9065307378768921,0.9975936412811279,0.9952594637870789,0.7561249136924744,0.8905757665634155,0.6655453443527222,0.7118827700614929,0.662222146987915,0.6729350090026855,0.6266376972198486,0.6837247014045715,0.22439761459827423,0.22673499584197998,0.22781772911548615,0.22878292202949524,0.22097262740135193,0.2177242785692215,0.21405752003192902,0.22381672263145447,0.20283880829811096,0.22249281406402588,0.21593765914440155,0.23148763179779053,0.16360637545585632,0.253950834274292,0.12828323245048523,0.2841807007789612,0.17671243846416473,0.2912692427635193,0.18951638042926788,0.28693217039108276,0.1967456191778183,0.2826387882232666,0.19485101103782654,0.19853825867176056,0.15833084285259247,0.2581045925617218,0.19100496172904968,0.24047136306762695,0.20783205330371857,0.2294502556324005,0.20298095047473907,0.27387553453445435,0.23388750851154327,0.44354477524757385,0.4305058717727661,0.4303918182849884,0.4303959012031555,0.4290215075016022,0.4280160665512085,0.4271053671836853,0.430454820394516,0.42660248279571533,0.4541930556297302,0.45184269547462463,0.4771234095096588,0.46205106377601624,0.524187445640564,0.5123242139816284,0.566432535648346,0.5451219081878662,0.5823428630828857,0.5620567798614502,0.5822613835334778,0.5566180944442749,0.5777848958969116,0.5511356592178345,0.5914689302444458,0.5958787202835083,0.5902960300445557,0.6293510794639587,0.7076748013496399,0.718949556350708,0.7196894288063049,0.7317363023757935,0.7400880455970764,0.7505790591239929,-0.19487501680850983,-0.18085800111293793,-0.18094763159751892,-0.18105843663215637,-0.19200271368026733,-0.19199663400650024,-0.19202932715415955,-0.0922614187002182,-0.1456405222415924,-0.1595209240913391,-0.17458833754062653,-0.029835989698767662,-0.1206897646188736,-0.03512225300073624,-0.20534856617450714,-0.15597327053546906,-0.3127318024635315,-0.1837906688451767,-0.34182167053222656,-0.2015996277332306,-0.34600013494491577,-0.1662428230047226,-0.3152344226837158,0.04030190035700798,-0.040125273168087006,-0.10016932338476181,-0.12649604678153992,-0.02010207809507847,-0.017807405441999435,-0.01460178755223751,-0.008231423795223236,-0.07095028460025787,-0.07398565113544464,Sit-To-Stand
7,0.9987310171127319,0.997917115688324,0.9978558421134949,0.997593104839325,0.9976462721824646,0.9975284934043884,0.9974430799484253,0.9974766373634338,0.9983795285224915,0.999360203742981,0.9997567534446716,0.999888002872467,0.9998786449432373,0.874099850654602,0.9884839057922363,0.8272601962089539,0.9533623456954956,0.8098405599594116,0.9196885824203491,0.8188967704772949,0.923145592212677,0.8059794306755066,0.9092031717300415,0.997561514377594,0.9950981736183167,0.7394363880157471,0.8930728435516357,0.6472151279449463,0.7151153683662415,0.6518985629081726,0.685812771320343,0.6083483099937439,0.6820054650306702,0.23230132460594177,0.23324081301689148,0.23376457393169403,0.2341441810131073,0.2287958562374115,0.22585606575012207,0.22231929004192352,0.22639207541942596,0.20992545783519745,0.22966086864471436,0.22409994900226593,0.2354014366865158,0.17001816630363464,0.2570872902870178,0.12459256500005722,0.2861642837524414,0.17631787061691284,0.2935563027858734,0.18665482103824615,0.28905969858169556,0.1956062763929367,0.28525611758232117,0.19392456114292145,0.20275847613811493,0.1636313945055008,0.26789742708206177,0.2279021441936493,0.2445032149553299,0.23355135321617126,0.2303394079208374,0.22029253840446472,0.2745259702205658,0.26646319031715393,0.44526684284210205,0.43321868777275085,0.43268242478370667,0.4321500062942505,0.43274742364883423,0.43188241124153137,0.43082723021507263,0.43056562542915344,0.4285118281841278,0.4531637728214264,0.45245739817619324,0.4761126637458801,0.46266263723373413,0.5250784754753113,0.5057972073554993,0.5698531270027161,0.5451639294624329,0.5883225202560425,0.5624147653579712,0.5879761576652527,0.5569080710411072,0.5823266506195068,0.5512800216674805,0.5919275879859924,0.5962387323379517,0.5904418230056763,0.5895689725875854,0.7088824510574341,0.7137892842292786,0.7233600616455078,0.7316705584526062,0.7477530241012573,0.7502578496932983,-0.1608944982290268,-0.1493770182132721,-0.14946326613426208,-0.14954647421836853,-0.16497382521629333,-0.1650087982416153,-0.16499868035316467,-0.0742926225066185,-0.13431403040885925,-0.13008983433246613,-0.15112532675266266,-0.017650308087468147,-0.12061991542577744,-0.009077372029423714,-0.20525792241096497,-0.10459469258785248,-0.2913643717765808,-0.12392431497573853,-0.31672796607017517,-0.14037716388702393,-0.31927233934402466,-0.11359857022762299,-0.2927382290363312,0.04570108279585838,-0.0455939881503582,-0.004853236488997936,-0.13544079661369324,0.015839874744415283,-0.05048155039548874,0.015908915549516678,-0.043312400579452515,-0.01684463955461979,-0.07712307572364807,Sit-To-Stand
8,0.9988145232200623,0.9980777502059937,0.9980109930038452,0.9977726340293884,0.997828483581543,0.9977021217346191,0.9976342916488647,0.9976828694343567,0.9985108375549316,0.9994094371795654,0.9997748136520386,0.999895453453064,0.9998797178268433,0.8828024864196777,0.9893004894256592,0.8411054611206055,0.9564436078071594,0.8234286308288574,0.923961877822876,0.8323557376861572,0.9273728728294373,0.8201970458030701,0.9139281511306763,0.9976436495780945,0.9950928092002869,0.7505668997764587,0.8893314003944397,0.6511615514755249,0.6876490116119385,0.6609055995941162,0.6729466319084167,0.6070992946624756,0.647956371307373,0.23625895380973816,0.23902733623981476,0.24025435745716095,0.24134352803230286,0.23336175084114075,0.23044085502624512,0.22712428867816925,0.23701432347297668,0.21733097732067108,0.23472146689891815,0.22801771759986877,0.24458849430084229,0.17385712265968323,0.26407456398010254,0.12858012318611145,0.288628488779068,0.17911121249198914,0.294760137796402,0.18976780772209167,0.2908790707588196,0.1981056034564972,0.2874224781990051,0.1961916983127594,0.20477554202079773,0.16169318556785583,0.2680976688861847,0.21885347366333008,0.24215397238731384,0.2240268737077713,0.22914712131023407,0.21512243151664734,0.2714235186576843,0.24664703011512756,0.4553915858268738,0.44244706630706787,0.4417632818222046,0.4412335157394409,0.44210439920425415,0.4412865936756134,0.4404310882091522,0.43768981099128723,0.43577754497528076,0.46229109168052673,0.46104779839515686,0.4777679145336151,0.4630518853664398,0.5271392464637756,0.5042684078216553,0.5762065649032593,0.5459832549095154,0.5931961536407471,0.5626062750816345,0.5915396213531494,0.5573081374168396,0.5861426591873169,0.5514723658561707,0.5888566374778748,0.5922179818153381,0.5880109071731567,0.5935611724853516,0.708726704120636,0.7003121972084045,0.723112165927887,0.7119240164756775,0.746829092502594,0.7383031249046326,-0.2030554562807083,-0.19241157174110413,-0.1924854815006256,-0.19261664152145386,-0.20243027806282043,-0.20244452357292175,-0.20247451961040497,-0.10847443342208862,-0.15356016159057617,-0.16780152916908264,-0.18122482299804688,-0.036408260464668274,-0.12234485149383545,-0.03469417244195938,-0.19971723854541779,-0.1534065306186676,-0.2972627282142639,-0.1805613785982132,-0.3239123523235321,-0.19772733747959137,-0.32778042554855347,-0.16315825283527374,-0.2988739013671875,0.038616843521595,-0.03847320005297661,-0.09753250330686569,-0.10707144439220428,-0.07630951702594757,0.0220774095505476,-0.07549090683460236,0.036173827946186066,-0.1273774951696396,0.004173976834863424,Sit-To-Stand
9,0.9988593459129333,0.9981817603111267,0.9981173872947693,0.9978989362716675,0.9979337453842163,0.9977999925613403,0.9977415204048157,0.9978438019752502,0.9985857009887695,0.9994296431541443,0.9997794032096863,0.9999033808708191,0.9998694658279419,0.8916002511978149,0.9897659420967102,0.8548910617828369,0.9577322006225586,0.8376293182373047,0.9252963066101074,0.8461350798606873,0.9287973642349243,0.8348621129989624,0.9154916405677795,0.9976209402084351,0.9947296380996704,0.7385308146476746,0.8882527351379395,0.6313650012016296,0.6896883249282837,0.6472393870353699,0.6816844940185547,0.5877634286880493,0.6478667855262756,0.2421385943889618,0.243072509765625,0.2437513768672943,0.24429389834403992,0.2383793145418167,0.23537400364875793,0.23186583817005157,0.23763199150562286,0.2203737199306488,0.23996815085411072,0.23361489176750183,0.24459140002727509,0.17911377549171448,0.26229336857795715,0.13318473100662231,0.28959864377975464,0.17928799986839294,0.29585111141204834,0.18593813478946686,0.29198503494262695,0.1958458572626114,0.2890409827232361,0.1950652301311493,0.2046355903148651,0.1671406328678131,0.26827576756477356,0.23285433650016785,0.23749443888664246,0.23887307941913605,0.22704975306987762,0.22743697464466095,0.26893794536590576,0.27077215909957886,0.450504869222641,0.43798577785491943,0.43741777539253235,0.43692976236343384,0.4376752972602844,0.43699386715888977,0.4364016354084015,0.43488720059394836,0.4348039925098419,0.45822274684906006,0.4574786424636841,0.4744724929332733,0.46138957142829895,0.5268659591674805,0.4993363916873932,0.5760616660118103,0.5457270741462708,0.5938218832015991,0.5628804564476013,0.5927090048789978,0.5575522184371948,0.5869523882865906,0.5518072843551636,0.5878258347511292,0.5889398455619812,0.5905550718307495,0.5955826044082642,0.7086288332939148,0.7026770114898682,0.7226990461349487,0.7184600234031677,0.7480043768882751,0.7386983633041382,-0.18789902329444885,-0.1753174364566803,-0.17539384961128235,-0.17549580335617065,-0.18801793456077576,-0.18804439902305603,-0.18807169795036316,-0.0929006040096283,-0.1516505628824234,-0.15336176753044128,-0.1705835461616516,-0.016957974061369896,-0.1307007372379303,0.013188292272388935,-0.20046024024486542,-0.09033504873514175,-0.28807327151298523,-0.1122242659330368,-0.3146791160106659,-0.1319705843925476,-0.31859642267227173,-0.10112933069467545,-0.28976136445999146,0.04748719185590744,-0.04734359309077263,-0.021131619811058044,-0.12765279412269592,0.04832029342651367,-0.013723206706345081,0.053235601633787155,0.0008662547916173935,0.013051219284534454,-0.04266875237226486,Sit-To-Stand
